MARCA_ITV,COUNT
"A.J.S.",1
"APRILIA",64
"ARIIC",7
"ASIAWING",2
"BENELLI",227
"BETA",43
"BMW",1047
"BRIXTON",59
"BULLIT",1
"CC",1
"CF MOTO",6
"DAELIM",143
"DUCATI",266
"GASGAS",46
"GENERIC",2
"GOES",84
"GUZZI",1
"HANWAY",70
"HARLEY-DAVIDSON",247
"HONDA",3287
"HUDSON BOSS",3
"HUSQVARNA",132
"HYOSUNG",13
"INDIAN",36
"JNEN",6
"KANDI MX",2
"KAWASAKI",822
"KEEWAY",326
"KENROD",6
"KSR MOTO",28
"KTM",534
"KYMCO",1616
"LAMBRETTA",14
"LEONART",14
"LML",5
"MACBOR",181
"MALCOR",8
"MASH",60
"MH MOTORCYCLES",26
"MONDIAL",87
"MONTESA",14
"MOTO GUZZI",40
"MOTO SPA",6
"MV AGUSTA",5
"NO STOCK BIKES",1
"ORCAL",3
"PEUGEOT",332
"PIAGGIO",1325
"PIONEER",4
"RIDE",3
"RIEJU",87
"RIYA",40
"ROYAL ENFIELD",69
"SANBEN",3
"SCOMADI",28
"SCORPA",1
"SHERCO",40
"SKY TEAM",1
"SUMCO",37
"SUZUKI",602
"SWM",11
"SYM",1071
"TGB",2
"TIANDA",6
"TIANYING",3
"TM RACING",6
"TRIUMPH",263
"TRS",7
"UM",53
"VENT SRL",3
"VERTIGO MOTORS",5
"WOTTAN",146
"YAMAHA",2815
"YIYING",4
