MARCA_ITV,COUNT
"AJP",89
"ALPINA DI RENANIA",7
"APRILIA",3602
"ARIIC",204
"BENDA",2
"BENELLI",2444
"BETA",673
"BMW",12279
"BRIXTON",480
"BSA",13
"CFMOTO",678
"DAELIM",104
"DUCATI",1956
"EFUN",158
"FANTIC MOTOR",382
"GAS GAS",1122
"GASGAS",3
"GUZZI",1
"GUZZI-HISPANIA",2
"HANWAY",107
"HARLEY-DAVIDSON",926
"HONDA",46551
"HUSQVARNA",2128
"HYOSUNG",163
"INDIAN",1
"INDIAN MOTORCYCLE",337
"ITALJET",38
"KAWASAKI",7392
"KEEWAY",3241
"KL",20
"KSR MOTO AUSTRIA",1
"KTM",6619
"KYMCO",14630
"LAMBRETTA",135
"LEONART",111
"LINHAI",92
"MACBOR",1806
"MALAGUTI",117
"MALCOR IBERICA",77
"MASH",26
"MH MOTORCYCLES",1354
"MITT",1937
"MONDIAL",150
"MONKEY BIKES",62
"MONTESA",96
"MOTO GUZZI",584
"MOTO MORINI",251
"MOTORBIKE",7
"MOTRON MOTORRAD",418
"MUTT",126
"MV AGUSTA",59
"NO STOCK BIKES",4
"ORCAL",56
"PANTHER",1
"PEUGEOT",3500
"PIAGGIO",11470
"QJMOTOR",1260
"REDMOTO",63
"RIEJU",1163
"RIYA",81
"ROYAL ALLOY",46
"ROYAL ENFIELD",1421
"SCORPA",16
"SHERCO",533
"SUMCO",42
"SUZUKI",3114
"SWM",130
"SYM",10904
"TEYIN",1
"TIANYING",1
"TM RACING",23
"TRIUMPH",2862
"TRS",237
"UM",515
"VENT S.R.L.",3
"VERTIGO MOTORS",65
"VESPA",1
"VICTORY MOTOR DIVISION",1
"VOGE",4076
"WOTTAN",2173
"WOTTAN MOTOR",23
"YAMAHA",25290
"ZONTES",7631
