MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,CILINDRADA_ITV,COUNT
"AJP","SPR 125 ENDURO","Palmas (Las)","124",1
"ANDES","U3 (125)","Barcelona","124",2
"ANDES","U3 (125)","Pontevedra","124",1
"APRILIA","RS 125","Barcelona","124",2
"APRILIA","RS 125","Castellón/Castelló","124",1
"APRILIA","RS 125","Coruña (A)","124",1
"APRILIA","RS 125","Illes Balears","124",2
"APRILIA","RS 125","Madrid","124",2
"APRILIA","RS 125","Palmas (Las)","124",2
"APRILIA","RS 125","Rioja (La)","124",1
"APRILIA","RS 125","Santa Cruz de Tenerife","124",1
"APRILIA","RS 125","Sevilla","124",1
"APRILIA","RS 125","Tarragona","124",1
"APRILIA","RS 125","Valencia/València","124",3
"APRILIA","RS 457","Albacete","457",1
"APRILIA","RS 457","Barcelona","457",1
"APRILIA","RS 457","Castellón/Castelló","457",2
"APRILIA","RS 457","Córdoba","457",1
"APRILIA","RS 457","Granada","457",1
"APRILIA","RS 457","Madrid","457",2
"APRILIA","RS 457","Navarra","457",1
"APRILIA","RS 457","Palmas (Las)","457",1
"APRILIA","RS 457","Pontevedra","457",1
"APRILIA","RS 457","Sevilla","457",1
"APRILIA","RS 457","Valencia/València","457",2
"APRILIA","RS 457","Zaragoza","457",1
"APRILIA","RS 660","Alicante/Alacant","659",2
"APRILIA","RS 660","Barcelona","659",5
"APRILIA","RS 660","Bizkaia","659",1
"APRILIA","RS 660","Cádiz","659",1
"APRILIA","RS 660","Illes Balears","659",1
"APRILIA","RS 660","Palmas (Las)","659",3
"APRILIA","RS 660","Santa Cruz de Tenerife","659",2
"APRILIA","RS 660","Valencia/València","659",1
"APRILIA","RS 660","Zaragoza","659",1
"APRILIA","RSV4","Barcelona","1099",3
"APRILIA","RSV4","Málaga","1099",2
"APRILIA","RX 125","Álava/Araba","124",1
"APRILIA","RX 125","Asturias","124",1
"APRILIA","RX 125","Cáceres","124",1
"APRILIA","RX 125","Castellón/Castelló","124",1
"APRILIA","RX 125","Córdoba","124",2
"APRILIA","RX 125","Madrid","124",2
"APRILIA","RX 125","Murcia","124",1
"APRILIA","RX 125","Palmas (Las)","124",2
"APRILIA","RX 125","Santa Cruz de Tenerife","124",1
"APRILIA","RX 125","Toledo","124",1
"APRILIA","RX 125","Valencia/València","124",1
"APRILIA","SR GT 125","Albacete","125",1
"APRILIA","SR GT 125","Alicante/Alacant","125",1
"APRILIA","SR GT 125","Almería","125",1
"APRILIA","SR GT 125","Barcelona","125",6
"APRILIA","SR GT 125","Cádiz","125",2
"APRILIA","SR GT 125","Girona","125",1
"APRILIA","SR GT 125","Granada","125",2
"APRILIA","SR GT 125","Illes Balears","125",3
"APRILIA","SR GT 125","Lleida","125",1
"APRILIA","SR GT 125","Málaga","125",5
"APRILIA","SR GT 125","Murcia","125",1
"APRILIA","SR GT 125","Palmas (Las)","125",3
"APRILIA","SR GT 125","Santa Cruz de Tenerife","125",2
"APRILIA","SR GT 125","Sevilla","125",1
"APRILIA","SR GT 125","Valencia/València","125",2
"APRILIA","SR GT 200","Barcelona","174",6
"APRILIA","SR GT 200","Cádiz","174",1
"APRILIA","SR GT 200","Illes Balears","174",1
"APRILIA","SX 125","Almería","124",1
"APRILIA","SX 125","Barcelona","124",2
"APRILIA","SX 125","Gipuzkoa","124",1
"APRILIA","SX 125","Girona","124",1
"APRILIA","SX 125","Málaga","124",1
"APRILIA","SX 125","Murcia","124",1
"APRILIA","SX 125","Santa Cruz de Tenerife","124",2
"APRILIA","SX 125","Zaragoza","124",1
"APRILIA","TUAREG 660","Almería","659",1
"APRILIA","TUAREG 660","Ávila","659",1
"APRILIA","TUAREG 660","Barcelona","659",17
"APRILIA","TUAREG 660","Cádiz","659",5
"APRILIA","TUAREG 660","Madrid","659",1
"APRILIA","TUAREG 660","Málaga","659",1
"APRILIA","TUAREG 660","Murcia","659",2
"APRILIA","TUAREG 660","Santa Cruz de Tenerife","659",1
"APRILIA","TUAREG 660","Sevilla","659",4
"APRILIA","TUAREG 660","Valencia/València","659",1
"APRILIA","TUONO 125","Barcelona","124",2
"APRILIA","TUONO 125","Cádiz","124",2
"APRILIA","TUONO 125","Huelva","124",1
"APRILIA","TUONO 660","Barcelona","659",4
"APRILIA","TUONO 660","Cádiz","659",1
"APRILIA","TUONO 660","Santa Cruz de Tenerife","659",1
"APRILIA","TUONO 660 FACTORY","Barcelona","659",3
