MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Alicante/Alacant","Comunidad Valenciana","600",10
"AJP","AJP PR7","Almería","Andalucía","600",5
"AJP","AJP PR7","Asturias","Principado de Asturias","600",2
"AJP","AJP PR7","Ávila","Castilla y León","600",1
"AJP","AJP PR7","Badajoz","Extremadura","600",4
"AJP","AJP PR7","Barcelona","Cataluña","600",18
"AJP","AJP PR7","Bizkaia","País Vasco","600",2
"AJP","AJP PR7","Cádiz","Andalucía","600",2
"AJP","AJP PR7","Cantabria","Cantabria","600",1
"AJP","AJP PR7","Castellón/Castelló","Comunidad Valenciana","600",1
"AJP","AJP PR7","Ceuta","Ceuta","600",1
"AJP","AJP PR7","Ciudad Real","Castilla-La Mancha","600",2
"AJP","AJP PR7","Córdoba","Andalucía","600",4
"AJP","AJP PR7","Coruña (A)","Galicia","600",3
"AJP","AJP PR7","Gipuzkoa","País Vasco","600",3
"AJP","AJP PR7","Girona","Cataluña","600",3
"AJP","AJP PR7","Granada","Andalucía","600",2
"AJP","AJP PR7","Illes Balears","Illes Balears","600",6
"AJP","AJP PR7","León","Castilla y León","600",3
"AJP","AJP PR7","Lleida","Cataluña","600",1
"AJP","AJP PR7","Lugo","Galicia","600",1
"AJP","AJP PR7","Madrid","Comunidad de Madrid","600",15
"AJP","AJP PR7","Málaga","Andalucía","600",6
"AJP","AJP PR7","Melilla","Melilla","600",1
"AJP","AJP PR7","Murcia","Región de Murcia","600",5
"AJP","AJP PR7","Navarra","Comunidad Foral de Navarra","600",1
"AJP","AJP PR7","Palmas (Las)","Canarias","600",8
"AJP","AJP PR7","Pontevedra","Galicia","600",1
"AJP","AJP PR7","Rioja (La)","La Rioja","600",1
"AJP","AJP PR7","Salamanca","Castilla y León","600",1
"AJP","AJP PR7","Sevilla","Andalucía","600",5
"AJP","AJP PR7","Tarragona","Cataluña","600",2
"AJP","AJP PR7","Valencia/València","Comunidad Valenciana","600",5
"AJP","AJP PR7","Zaragoza","Aragón","600",2
"AJP","SPR 125 ENDURO","Barcelona","Cataluña","124",1
"AJP","SPR 125 ENDURO","Granada","Andalucía","124",1
"AJP","SPR 125 ENDURO","Lugo","Galicia","124",1
"AJP","SPR 125 ENDURO","Palmas (Las)","Canarias","124",1
"AJP","SPR 125 ENDURO","Sevilla","Andalucía","124",2
"AJP","SPR 240 ENDURO","Cádiz","Andalucía","233",1
"AJP","SPR 240 ENDURO","Tarragona","Cataluña","233",1
"AJP","SPR 240 ENDURO","Teruel","Aragón","233",1
"AJP","SPR 250 ENDURO","Cádiz","Andalucía","249",1
"AJP","SPR 310 ENDURO","Cádiz","Andalucía","298",1
"ALPINA DI RENANIA","STRADA 125CC","Badajoz","Extremadura","125",3
"ALPINA DI RENANIA","STRADA 125CC","Barcelona","Cataluña","125",4
"ALPINA DI RENANIA","STRADA 125CC","Girona","Cataluña","125",1
"ANDES","U3 (125)","Alicante/Alacant","Comunidad Valenciana","124",1
"ANDES","U3 (125)","Asturias","Principado de Asturias","124",4
"ANDES","U3 (125)","Barcelona","Cataluña","124",8
"ANDES","U3 (125)","Cantabria","Cantabria","124",1
"ANDES","U3 (125)","Coruña (A)","Galicia","124",1
"ANDES","U3 (125)","Huesca","Aragón","124",1
"ANDES","U3 (125)","Jaén","Andalucía","124",1
"ANDES","U3 (125)","Madrid","Comunidad de Madrid","124",2
"ANDES","U3 (125)","Murcia","Región de Murcia","124",1
"ANDES","U3 (125)","Palmas (Las)","Canarias","124",1
"ANDES","U3 (125)","Pontevedra","Galicia","124",7
"ANDES","U3 (125)","Santa Cruz de Tenerife","Canarias","124",2
"ANDES","U3 (125)","Zaragoza","Aragón","124",3
"ANDES","U3(125)","Pontevedra","Galicia","124",3
"APRILIA","RS 125","Albacete","Castilla-La Mancha","124",1
"APRILIA","RS 125","Alicante/Alacant","Comunidad Valenciana","124",11
"APRILIA","RS 125","Almería","Andalucía","124",3
"APRILIA","RS 125","Asturias","Principado de Asturias","124",3
"APRILIA","RS 125","Badajoz","Extremadura","124",1
"APRILIA","RS 125","Barcelona","Cataluña","124",17
"APRILIA","RS 125","Bizkaia","País Vasco","124",3
"APRILIA","RS 125","Cádiz","Andalucía","124",4
"APRILIA","RS 125","Cantabria","Cantabria","124",1
"APRILIA","RS 125","Castellón/Castelló","Comunidad Valenciana","124",6
"APRILIA","RS 125","Córdoba","Andalucía","124",3
"APRILIA","RS 125","Coruña (A)","Galicia","124",6
"APRILIA","RS 125","Girona","Cataluña","124",4
"APRILIA","RS 125","Granada","Andalucía","124",3
"APRILIA","RS 125","Guadalajara","Castilla-La Mancha","124",1
"APRILIA","RS 125","Illes Balears","Illes Balears","124",5
"APRILIA","RS 125","Lleida","Cataluña","124",2
"APRILIA","RS 125","Madrid","Comunidad de Madrid","124",7
"APRILIA","RS 125","Málaga","Andalucía","124",6
"APRILIA","RS 125","Murcia","Región de Murcia","124",10
"APRILIA","RS 125","Navarra","Comunidad Foral de Navarra","124",2
"APRILIA","RS 125","Palmas (Las)","Canarias","124",4
"APRILIA","RS 125","Pontevedra","Galicia","124",1
"APRILIA","RS 125","Rioja (La)","La Rioja","124",1
"APRILIA","RS 125","Santa Cruz de Tenerife","Canarias","124",8
"APRILIA","RS 125","Sevilla","Andalucía","124",9
"APRILIA","RS 125","Tarragona","Cataluña","124",3
"APRILIA","RS 125","Valencia/València","Comunidad Valenciana","124",13
"APRILIA","RS 125","Valladolid","Castilla y León","124",1
"APRILIA","RS 125","Zamora","Castilla y León","124",1
"APRILIA","RS 125","Zaragoza","Aragón","124",1
"APRILIA","RS 250","Valencia/València","Comunidad Valenciana","249",1
"APRILIA","RS 457","Álava/Araba","País Vasco","457",2
"APRILIA","RS 457","Albacete","Castilla-La Mancha","457",2
"APRILIA","RS 457","Alicante/Alacant","Comunidad Valenciana","457",8
"APRILIA","RS 457","Almería","Andalucía","457",4
"APRILIA","RS 457","Badajoz","Extremadura","457",3
"APRILIA","RS 457","Barcelona","Cataluña","457",36
"APRILIA","RS 457","Bizkaia","País Vasco","457",6
"APRILIA","RS 457","Cádiz","Andalucía","457",7
"APRILIA","RS 457","Cantabria","Cantabria","457",2
"APRILIA","RS 457","Castellón/Castelló","Comunidad Valenciana","457",2
"APRILIA","RS 457","Córdoba","Andalucía","457",1
"APRILIA","RS 457","Girona","Cataluña","457",3
"APRILIA","RS 457","Granada","Andalucía","457",3
"APRILIA","RS 457","Guadalajara","Castilla-La Mancha","457",1
"APRILIA","RS 457","Illes Balears","Illes Balears","457",4
"APRILIA","RS 457","León","Castilla y León","457",1
"APRILIA","RS 457","Lleida","Cataluña","457",2
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",26
"APRILIA","RS 457","Málaga","Andalucía","457",5
"APRILIA","RS 457","Melilla","Melilla","457",1
"APRILIA","RS 457","Murcia","Región de Murcia","457",6
"APRILIA","RS 457","Navarra","Comunidad Foral de Navarra","457",3
"APRILIA","RS 457","Palmas (Las)","Canarias","457",10
"APRILIA","RS 457","Pontevedra","Galicia","457",2
"APRILIA","RS 457","Santa Cruz de Tenerife","Canarias","457",3
"APRILIA","RS 457","Sevilla","Andalucía","457",14
"APRILIA","RS 457","Soria","Castilla y León","457",1
"APRILIA","RS 457","Tarragona","Cataluña","457",3
"APRILIA","RS 457","Toledo","Castilla-La Mancha","457",1
"APRILIA","RS 457","Valencia/València","Comunidad Valenciana","457",10
"APRILIA","RS 457","Valladolid","Castilla y León","457",4
"APRILIA","RS 457","Zaragoza","Aragón","457",3
"APRILIA","RS 660","Álava/Araba","País Vasco","659",4
"APRILIA","RS 660","Albacete","Castilla-La Mancha","659",3
"APRILIA","RS 660","Alicante/Alacant","Comunidad Valenciana","659",8
"APRILIA","RS 660","Almería","Andalucía","659",6
"APRILIA","RS 660","Asturias","Principado de Asturias","659",1
"APRILIA","RS 660","Badajoz","Extremadura","659",4
"APRILIA","RS 660","Barcelona","Cataluña","659",51
"APRILIA","RS 660","Bizkaia","País Vasco","659",6
"APRILIA","RS 660","Burgos","Castilla y León","659",1
"APRILIA","RS 660","Cádiz","Andalucía","659",17
"APRILIA","RS 660","Cantabria","Cantabria","659",1
"APRILIA","RS 660","Castellón/Castelló","Comunidad Valenciana","659",2
"APRILIA","RS 660","Coruña (A)","Galicia","659",4
"APRILIA","RS 660","Gipuzkoa","País Vasco","659",1
"APRILIA","RS 660","Girona","Cataluña","659",4
"APRILIA","RS 660","Granada","Andalucía","659",1
"APRILIA","RS 660","Guadalajara","Castilla-La Mancha","659",1
"APRILIA","RS 660","Huelva","Andalucía","659",2
"APRILIA","RS 660","Huesca","Aragón","659",1
