FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV
"10022026","0","","HONDA","PCX125"
"10022026","0","","LETBE","FLYGON"
"10022026","0","","YAMAHA","MTN690-U"
"10022026","0","","RIEJU","NKD 125"
"10022026","0","","PIAGGIO","LIBERTY 125 ABS"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","RIEJU","XPLORA 707"
"10022026","0","","VOGE","DS900X"
"10022026","0","","YAMAHA","LCG125"
"10022026","0","","VOGE","625DSX"
"10022026","0","","QJMOTOR","MTX 125 E5+"
"10022026","0","","QJMOTOR","SRT 700 E5+"
"10022026","0","","HONDA","SH125"
"10022026","0","","KYMCO","PEOPLE S 125 E5+"
"10022026","0","","RIEJU","NOT APPLICABLE"
"10022026","0","","HONDA","PCX125"
"10022026","0","","CYCLONE","LS-Z"
"10022026","0","","SYM","JET 14 EVO 125 LC ABS"
"10022026","0","","VOGE","SR16"
"10022026","0","","YAMAHA","MTN690-U"
"10022026","0","","ZONTES","ZT125-Z2"
"10022026","0","","MACBOR","MONTANA XR1 125 EVO"
"10022026","0","","YAMAHA","LCG125"
"10022026","0","","YAMAHA","WR125-A"
"10022026","0","","APRILIA","RS 660"
"10022026","0","","HONDA","PCX125"
"10022026","0","","SILENCE","S02"
"10022026","0","","SILENCE","S01"
"10022026","0","","HONDA","ADV750"
"10022026","0","","ZONTES","368G"
"10022026","0","","VOGE","SR1ADV"
"10022026","0","","ZONTES","368G"
"10022026","0","","KYMCO","DTX"
"10022026","0","","HONDA","SH350A"
"10022026","0","","HONDA","XL750"
"10022026","0","","ZONTES","703F"
"10022026","0","","VOGE","DS900X"
"10022026","0","","HONDA","NSC110"
"10022026","0","","KAWASAKI","Z900"
"10022026","0","","ZONTES","ZT125-G1"
"10022026","0","","YAMAHA","MTT890"
"10022026","0","","VOGE","625DSX"
"10022026","0","","VOGE","R125"
"10022026","0","","YAMAHA","XP560"
"10022026","0","","HONDA","NSC110"
"10022026","0","","KAWASAKI","NINJA 125"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","HONDA","XL750"
"10022026","0","","HONDA","ADV750"
"10022026","0","","KAWASAKI","NINJA 125"
"10022026","0","","MITT","125 DESERT"
"10022026","0","","DUCATI","MONSTER RED"
"10022026","0","","YAMAHA","MTN690-U"
"10022026","0","","HONDA","PCX125"
"10022026","0","","ZONTES","368G"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","HONDA","GB350S"
"10022026","0","","VOGE","DS900X"
"10022026","0","","APRILIA","SR GT 125"
"10022026","0","","YAMAHA","WR125-A"
"10022026","0","","CYCLONE","SR650"
"10022026","0","","ZONTES","368G"
"10022026","0","","YAMAHA","WR125-A"
"10022026","0","","ROYAL ENFIELD","SUPER METEOR 650"
"10022026","0","","MACBOR","MONTANA XR1 125 EVO"
"10022026","0","","YAMAHA","MTT690D-S"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","KAWASAKI","Z900"
"10022026","0","","KYMCO","AGILITY S"
"10022026","0","","KYMCO","AGILITY S"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","YAMAHA","XMAX125"
"10022026","0","","BMW","R 1300 GS"
"10022026","0","","MOTO MORINI","CALIBRO 700"
"10022026","0","","QJMOTOR","SRK 125 S E5+"
"10022026","0","","HONDA","FORZA125"
"10022026","0","","YAMAHA","MTN125-A"
"10022026","0","","KAWASAKI","VERSYS 650"
"10022026","0","","VELCA","EON"
"10022026","0","","HONDA","SH125"
"10022026","0","","CFMOTO","450MT"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","BMW","S 1000 RR"
"10022026","0","","KTM","KTM 390 ADVENTURE R"
"10022026","0","","ZONTES","368G"
"10022026","0","","ZONTES","368G"
"10022026","0","","YAMAHA","XTZ690"
"10022026","0","","HONDA","NC750XD"
"10022026","0","","INDIAN MOTORCYCLE","CHIEF VINTAGE"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","HONDA","PCX125"
"10022026","0","","QJMOTOR","SRT 700 E5+"
"10022026","0","","VOGE","625DSX"
"10022026","0","","RIEJU","RALLY 307"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","YAMAHA","MTN890"
"10022026","0","","YAMAHA","CZD300D-A"
"10022026","0","","KAWASAKI","NINJA ZX-6R"
"10022026","0","","KAWASAKI","NINJA ZX-6R"
"10022026","0","","HUSQVARNA","HUSQVARNA FE 450"
"10022026","0","","VOGE","DS525X"
"10022026","0","","CFMOTO","450MT"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","KTM","KTM 390 ADVENTURE R"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","HONDA","NC750XD"
"10022026","0","","KOVE","KOVE 800 X PRO"
"10022026","0","","RIEJU","RALLY 307"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","HONDA","NSC110"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","YAMAHA","XMAX125"
"10022026","0","","MITT","125R1"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","HARLEY-DAVIDSON","STREET BOB"
"10022026","0","","HUSQVARNA","HUSQVARNA 901 NORDEN"
"10022026","0","","KAWASAKI","Z H2"
"10022026","0","","CYCLONE","SR650"
"10022026","0","","KYMCO","AGILITY S"
"10022026","0","","ZONTES","368G"
"10022026","0","","HONDA","ADV350A"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","HONDA","PCX125"
"10022026","0","","HONDA","CBR650RAC"
"10022026","0","","VOGE","DS900X"
"10022026","0","","KAWASAKI","Z900"
"10022026","0","","HONDA","XL750"
"10022026","0","","YAMAHA","YZF125-A"
"10022026","0","","STARK","VARG"
"10022026","0","","YAMAHA","MTM125-C"
"10022026","0","","YAMAHA","XMAX125"
"10022026","0","","PIAGGIO","LIBERTY 125 ABS"
"10022026","0","","SYM","JET 14 125 LC E5+"
"10022026","0","","SHERCO","300 SE-R"
"10022026","0","","ZONTES","368G"
"10022026","0","","HONDA","NSS350A"
"10022026","0","","APRILIA","SR GT 125"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","RIEJU","NOT APPLICABLE"
"10022026","0","","ZONTES","703RR"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","YAMAHA","MTN890D-U"
"10022026","0","","DUCATI","SCRAMBLER FULL THROTTL"
"10022026","0","","PIAGGIO","MEDLEY 125"
"10022026","0","","YAMAHA","MTN690-U"
"10022026","0","","HONDA","SH125"
"10022026","0","","HONDA","NSC110"
"10022026","0","","BMW","F 900 GS ADVENTURE"
"10022026","0","","HONDA","SH125"
"10022026","0","","BETA","RR 2T 250 MY23"
"10022026","0","","YAMAHA","WR125-A"
"10022026","0","","YAMAHA","MTN690-U"
"10022026","0","","HARLEY-DAVIDSON","STREET GLIDE"
"10022026","0","","BETA","N/A"
"10022026","0","","KEEWAY","VIESTE 125"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","SEGWAY","--"
"10022026","0","","SYM","JET X 125 ABS TCB E5+"
"10022026","0","","MH MOTORCYCLES","VRS"
"10022026","0","","KTM","KTM 390 ADVENTURE R"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","HONDA","XL750"
"10022026","0","","HONDA","PCX125"
"10022026","0","","KYMCO","SUPER DINK GT 125 E5+"
"10022026","0","","BENDA","NAPOLEON 250"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","GASGAS","EC 300"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","HONDA","XL750"
"10022026","0","","BMW","R 1300 RT"
"10022026","0","","YAMAHA","MWS125-C"
"10022026","0","","CFMOTO","450MT"
"10022026","0","","LAMBRETTA","V125 SPECIAL FLEX"
"10022026","0","","NEXT","NX CROSS 125I"
"10022026","0","","BMW","F 800 GS"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","SUZUKI","UB125L"
"10022026","0","","BMW","C 400 GT"
"10022026","0","","VOGE","SR16"
"10022026","0","","HONDA","PCX125"
"10022026","0","","ZONTES","368G"
"10022026","0","","VOGE","625DSX"
"10022026","0","","PIAGGIO","VESPA GTS"
"10022026","0","","TRIUMPH","TRIDENT 800"
"10022026","0","","SILENCE","S02"
"10022026","0","","VOGE","625DSX"
"10022026","0","","RIEJU","RALLY 307"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","YAMAHA","MTT890"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","KAWASAKI","Z650"
"10022026","0","","SYM","JET 14 125 LC E5+"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","KTM","KTM 250 EXC"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","YAMAHA","LCG125"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","YAMAHA","LCG125"
"10022026","0","","ZONTES","368M"
"10022026","0","","VOGE","DS900X"
"10022026","0","","KAWASAKI","VERSYS 1100"
"10022026","0","","MORBIDELLI","T502X"
"10022026","0","","YAMAHA","LCG125"
"10022026","0","","HONDA","FORZA125"
"10022026","0","","HONDA","CRF1100D4"
"10022026","0","","VOGE","DS900X"
"10022026","0","","KTM","KTM 690 SMC R"
"10022026","0","","YAMAHA","MTN890-U"
"10022026","0","","SYM","SYMPHONY 125"
"10022026","0","","YAMAHA","CZD300D-A"
"10022026","0","","YAMAHA","MTN690-U"
"10022026","0","","HONDA","PCX125"
"10022026","0","","VOGE","R125"
"10022026","0","","VOGE","625DSX"
"10022026","0","","BENDA","V302C"
"10022026","0","","HONDA","CB500XA"
"10022026","0","","ZONTES","125E"
"10022026","0","","YAMAHA","XP560"
"10022026","0","","TRIUMPH","STREET TRIPLE 765 RX"
"10022026","0","","QJMOTOR","SQ 16 E5+"
"10022026","0","","HONDA","ADV350A"
"10022026","0","","KYMCO","DTX 125"
"10022026","0","","ZONTES","368G"
"10022026","0","","ZONTES","703RR"
"10022026","0","","YAMAHA","XP560"
"10022026","0","","MACBOR","MONTANA XR1 125 EVO"
"10022026","0","","LETBE","S125"
"10022026","0","","KYMCO","SKYTOWN 125"
"10022026","0","","SUZUKI","UB125L"
"10022026","0","","HONDA","FORZA125"
"10022026","0","","HONDA","NC750XD"
"10022026","0","","HONDA","CB650RAC"
"10022026","0","","ZONTES","368G"
"10022026","0","","VOGE","625DSX"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","PIAGGIO","MEDLEY 125"
"10022026","0","","ZONTES","368G"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","QJMOTOR","SRT 600 SX E5+"
"10022026","0","","KYMCO","AGILITY S"
"10022026","0","","KYMCO","SUPER DINK GT"
"10022026","0","","HONDA","XL750"
"10022026","0","","KAWASAKI","Z900"
"10022026","0","","YAMAHA","XMAX125"
"10022026","0","","BMW","R 1300 GS"
"10022026","0","","QJMOTOR","MTX 125 E5+"
"10022026","0","","VOGE","DS800X RALLY"
"10022026","0","","YAMAHA","MTM690"
"10022026","0","","YAMAHA","WR125-A"
"10022026","0","","YAMAHA","XMAX125"
"10022026","0","","BENDA","CHINCHILLA"
"10022026","0","","YAMAHA","WR125-A"
"10022026","0","","VELCA","EON"
"10022026","0","","ZONTES","ZT125-G1"
"10022026","0","","ZONTES","703RR"
"10022026","0","","BMW","R 1300 GS"
"10022026","0","","SYM","CRUISYM 125 TCS E5+"
"10022026","0","","VOGE","R125"
"10022026","0","","TRIUMPH","TIGER 900 RALLY PRO"
"10022026","0","","KAWASAKI","Z900"
"10022026","0","","VOGE","SR1ADV"
"10022026","0","","ZONTES","368G"
"10022026","0","","YAMAHA","NMAX125"
"10022026","0","","BMW","R 1300 RT"
"10022026","0","","HONDA","CRF1100D4"
"10022026","0","","VOGE","DS800X RALLY"
