FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,CILINDRADA_ITV
"27022026","0","","HONDA","FORZA125","Granada","125"
"27022026","0","","VOGE","DS800X RALLY","Barcelona","798"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","RIEJU","RALLY 307","Murcia","292"
"27022026","0","","KAWASAKI","ELIMINATOR","Asturias","451"
"27022026","0","","BMW","R 1300 GS","Pontevedra","1300"
"27022026","0","","HONDA","PCX125","Bizkaia","125"
"27022026","0","","VOGE","DS800X RALLY","León","798"
"27022026","0","","MACBOR","ROCKSTER 125 EVO E5+","Palmas (Las)","125"
"27022026","0","","VOGE","DS800X RALLY","Zaragoza","798"
"27022026","0","","KYMCO","SUPER DINK GT 125 E5+","Cádiz","124"
"27022026","0","","SUZUKI","AN400","Alicante/Alacant","400"
"27022026","0","","HONDA","PCX125","Sevilla","125"
"27022026","0","","KYMCO","SUPER DINK GT 125 E5+","Valencia/València","124"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","YAMAHA","MTT690-S","Barcelona","689"
"27022026","0","","HONDA","PCX125","Palmas (Las)","125"
"27022026","0","","YAMAHA","NMAX125","Valencia/València","125"
"27022026","0","","TRIUMPH","TRIDENT 800","Barcelona","798"
"27022026","0","","VOGE","R125","Madrid","125"
"27022026","0","","HONDA","PCX125","Valencia/València","125"
"27022026","0","","MORBIDELLI","NR125X","Asturias","125"
"27022026","0","","YAMAHA","CZD300D-A","Barcelona","292"
"27022026","0","","BMW","R 1300 GS","Illes Balears","1300"
"27022026","0","","KEEWAY","XDV 125 EVO PRO","Cádiz","125"
"27022026","0","","HONDA","ADV750","Santa Cruz de Tenerife","745"
"27022026","0","","BMW","C 400 GT","Murcia","350"
"27022026","0","","VOGE","DS800X RALLY","Barcelona","798"
"27022026","0","","BENDA","NAPOLEON 125","Barcelona","125"
"27022026","0","","TRIUMPH","SPEED TWIN 900","Almería","900"
"27022026","0","","BMW","M 1000 XR","Cádiz","999"
"27022026","0","","PIAGGIO","LIBERTY 125 ABS","Illes Balears","124"
"27022026","0","","RIEJU","RALLY 307","Lugo","292"
"27022026","0","","RIEJU","NKD 125","Albacete","124"
"27022026","0","","VOGE","DS800X RALLY","Illes Balears","798"
"27022026","0","","YAMAHA","NMAX125","Valencia/València","125"
"27022026","0","","KOVE","KOVE 800 X PRO","Barcelona","799"
"27022026","0","","BMW","M 1000 XR","Jaén","999"
"27022026","0","","HONDA","ADV350A","Cádiz","330"
"27022026","0","","HONDA","CB500FA","Valencia/València","471"
