MARCA_ITV,COUNT
"AJP",9
"ANDES",1
"APRILIA",170
"ARENA",1
"BAJAJ",54
"BENDA",83
"BENELLI",47
"BETA",91
"BMW",808
"BRIXTON",10
"BSA",15
"CECOTEC",9
"CFMOTO",214
"CYCLONE",69
"DAYANG",3
"DUCATI",132
"E RIDE PRO",2
"E-BROH",1
"ECOOTER",1
"EFUN",31
"ELECTRIC MOTION",4
"F.B MONDIAL",5
"FANTIC MOTOR",13
"GASGAS",28
"GUSITE",4
"HARLEY-DAVIDSON",53
"HERO MOTOCORP",35
"HONDA",3657
"HONGFANWX",2
"HUSQVARNA",101
"HYOSUNG",2
"INDIAN MOTORCYCLE",20
"ITALJET",4
"JIAJUE",5
"KAWASAKI",599
"KEEWAY",164
"KOVE",126
"KTM",415
"KYMCO",692
"LAMBRETTA",20
"LEONART",5
"LETBE",32
"LIFAN",1
"LINHAI",3
"LVNENG",1
"MACBOR",140
"MALAGUTI",2
"MALCOR IBERICA",1
"MBP",3
"MH MOTORCYCLES",62
"MITT",121
"MONDIAL",2
"MONNIER",1
"MONTESA",12
"MORBIDELLI",58
"MOTO GUZZI",19
"MOTO MORINI",83
"MOTORBIKE",1
"MUSATTI",1
"MV AGUSTA",16
"NERVA",2
"NEXT",53
"NEXTELECTRICMOTORS",7
"NIU",11
"NO STOCK BIKES",1
"PEUGEOT",105
"PIAGGIO",337
"QJMOTOR",435
"RAY ELECTRIC MOTORS",2
"REDMOTO",5
"RIEJU",471
"ROYAL ALLOY",4
"ROYAL ENFIELD",97
"SEGWAY",4
"SHERCO",63
"SILENCE",83
"STARK",36
"SUNRA",1
"SUPER SOCO",2
"SUZUKI",211
"SWM",4
"SYM",647
"TALARIA",19
"TINBOT",1
"TM MOTO",3
"TRIUMPH",255
"TRS",21
"TYE",1
"UGBEST",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA",4
"UM",5
"VELCA",56
"VELIMOTOR",2
"VENT S.R.L.",5
"VERTIGO MOTORS",1
"VESPA",1
"VMOTO",2
"VOGE",1822
"WAYSCRAL",1
"WOTTAN",17
"WOTTAN MOTOR",30
"YADEA",1
"YAMAHA",2407
"ZERO MOTORCYCLES",9
"ZNEN",3
"ZONTES",1522
