MARCA_ITV,MODELO_ITV,COD_PROVINCIA_VEH,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","GR","600",1
"ALPINA DI RENANIA","STRADA 125CC","B","125",1
"APRILIA","RS 125","GC","124",1
"APRILIA","RS 125","IB","124",1
"APRILIA","RS 125","M","124",1
"APRILIA","RS 457","MA","457",1
"APRILIA","RS 457","NA","457",1
"APRILIA","RS 660","CR","659",1
"APRILIA","RS 660","MA","659",1
"APRILIA","RS 660","V","659",1
"APRILIA","RSV4","B","1099",1
"APRILIA","RX 125","B","124",1
"APRILIA","RX 125","J","124",2
"APRILIA","RX 125","M","124",1
"APRILIA","RX 125","PO","124",1
"APRILIA","RX 125","TO","124",1
"APRILIA","SR GT 125","A","125",1
"APRILIA","SR GT 125","B","125",1
"APRILIA","SR GT 125","BI","125",2
"APRILIA","SR GT 125","CA","125",8
"APRILIA","SR GT 125","CC","125",1
"APRILIA","SR GT 125","CE","125",1
"APRILIA","SR GT 125","CO","125",2
"APRILIA","SR GT 125","GC","125",2
"APRILIA","SR GT 125","H","125",3
"APRILIA","SR GT 125","IB","125",2
"APRILIA","SR GT 125","J","125",2
"APRILIA","SR GT 125","M","125",1
"APRILIA","SR GT 125","MA","125",1
"APRILIA","SR GT 125","MU","125",1
"APRILIA","SR GT 125","PO","125",1
"APRILIA","SR GT 125","SE","125",6
"APRILIA","SR GT 125","TF","125",3
"APRILIA","SR GT 125","V","125",1
"APRILIA","SR GT 200","L","174",1
"APRILIA","SX 125","A","124",2
"APRILIA","SX 125","CA","124",1
"APRILIA","SX 125","CO","124",1
"APRILIA","SX 125","GC","124",1
"APRILIA","SX 125","O","124",1
"APRILIA","TUAREG 660","M","659",1
"APRILIA","TUAREG 660","MU","659",1
"APRILIA","TUONO 125","B","124",1
"APRILIA","TUONO 125","MU","124",1
"APRILIA","TUONO 457","MU","457",1
"APRILIA","TUONO V4","MU","1077",1
"ARENA","VORTEX","BI","0",1
"BAJAJ","PULSAR NS 125","MA","124",1
"BAJAJ","PULSAR NS 125","MU","124",1
"BAJAJ","PULSAR NS 125","SS","124",1
"BAJAJ","PULSAR NS 125","Z","124",1
"BAJAJ","PULSAR NS 400 Z","B","373",1
"BAJAJ","PULSAR NS 400 Z","GR","373",1
"BAJAJ","PULSAR NS 400 Z","Z","373",1
"BENDA","CHINCHILLA","CO","476",1
"BENDA","CHINCHILLA","PO","476",1
"BENDA","CHINCHILLA 350","GR","343",1
"BENDA","CHINCHILLA 350","H","343",1
"BENDA","CHINCHILLA 350","LO","343",1
"BENDA","CHINCHILLA 350","MA","343",1
"BENDA","CHINCHILLA 350","V","343",2
"BENDA","DARKFLAG 500","IB","496",1
"BENDA","DARKFLAG 500","O","496",1
"BENDA","LFC700","GI","680",1
"BENDA","LFC700","O","680",1
"BENDA","NAPOLEON","O","476",1
"BENDA","NAPOLEON 125","A","125",1
"BENDA","NAPOLEON 125","B","125",2
"BENDA","NAPOLEON 125","CO","125",1
"BENDA","NAPOLEON 125","CR","125",1
"BENDA","NAPOLEON 125","M","125",1
"BENDA","NAPOLEON 125","P","125",1
"BENDA","NAPOLEON 125","SG","125",1
"BENDA","NAPOLEON 125","TF","125",1
"BENDA","NAPOLEON 125","V","125",1
"BENDA","NAPOLEON 250","M","249",1
"BENDA","NAPOLEON 250","MU","249",1
"BENDA","V302C","V","298",1
"BENELLI","BKX 125","CC","125",1
"BENELLI","BKX 125","SE","125",1
"BENELLI","BKX 125","VA","125",2
"BENELLI","BN125","A","125",1
"BENELLI","BN125","AL","125",1
"BENELLI","BN125","B","125",1
"BENELLI","BN125","CO","125",1
"BENELLI","BN125","IB","125",1
"BENELLI","BN125","M","125",1
"BENELLI","BN125","T","125",2
"BENELLI","TRK 702","B","698",1
"BENELLI","TRK 702","SG","698",1
"BETA","N/A","B","293",3
"BETA","N/A","C","293",2
"BETA","N/A","CA","293",1
"BETA","N/A","CC","293",2
"BETA","N/A","LE","293",1
"BETA","N/A","LO","293",1
"BETA","N/A","M","293",1
"BETA","N/A","MA","293",1
"BETA","N/A","PO","293",1
"BETA","N/A","SE","293",2
"BETA","N/A","T","293",2
"BETA","N/A","TF","293",1
"BETA","N/A","V","293",1
"BMW","C 400 GT","A","350",2
"BMW","C 400 GT","AL","350",2
"BMW","C 400 GT","B","350",1
"BMW","C 400 GT","BA","350",1
"BMW","C 400 GT","CS","350",1
"BMW","C 400 GT","M","350",5
"BMW","C 400 GT","MA","350",1
"BMW","C 400 GT","MU","350",1
"BMW","C 400 GT","S","350",1
"BMW","C 400 GT","TF","350",1
"BMW","C 400 GT","V","350",3
"BMW","C 400 X","B","350",1
"BMW","C 400 X","GC","350",1
"BMW","C 400 X","GR","350",1
"BMW","C 400 X","M","350",2
"BMW","C 400 X","MA","350",1
"BMW","C 400 X","TF","350",1
"BMW","CE 04","B","0",1
"BMW","CE 04","M","0",2
"BMW","F 450 GS","M","420",1
"BMW","F 800 GS","A","895",1
"BMW","F 800 GS","B","895",2
"BMW","F 800 GS","GU","895",1
"BMW","F 800 GS","M","895",4
"BMW","F 800 GS","MA","895",1
"BMW","F 800 GS","MU","895",1
"BMW","F 900 GS","BA","895",1
"BMW","F 900 GS","BI","895",1
"BMW","F 900 GS","CC","895",1
"BMW","F 900 GS","LU","895",1
"BMW","F 900 GS","M","895",4
"BMW","F 900 GS","MU","895",1
"BMW","F 900 GS","S","895",1
"BMW","F 900 GS","TF","895",1
"BMW","F 900 GS ADVENTURE","A","895",2
"BMW","F 900 GS ADVENTURE","AB","895",1
"BMW","F 900 GS ADVENTURE","J","895",1
"BMW","F 900 GS ADVENTURE","M","895",3
"BMW","F 900 GS ADVENTURE","O","895",1
"BMW","F 900 R","GC","895",1
"BMW","F 900 R","M","895",3
"BMW","F 900 R","MU","895",1
"BMW","F 900 R","O","895",1
"BMW","F 900 R A2","B","895",1
"BMW","F 900 R A2","BI","895",1
"BMW","F 900 R A2","IB","895",1
"BMW","F 900 R A2","M","895",1
"BMW","F 900 R A2","V","895",1
"BMW","F 900 XR","AL","895",1
"BMW","F 900 XR","B","895",2
"BMW","F 900 XR","BA","895",1
"BMW","F 900 XR","M","895",1
"BMW","F 900 XR","TO","895",1
"BMW","F 900 XR","V","895",1
"BMW","F 900 XR","Z","895",1
"BMW","F 900 XR","ZA","895",1
"BMW","K 1600 GTL","M","1649",1
"BMW","M 1000 R","GC","999",1
"BMW","M 1000 RR","M","999",1
"BMW","M 1000 XR","CS","999",1
"BMW","M 1000 XR","M","999",1
"BMW","M 1000 XR","MU","999",1
"BMW","R 12","B","1170",1
"BMW","R 12","M","1170",2
"BMW","R 12 G/S","IB","1170",1
"BMW","R 12 G/S","M","1170",1
"BMW","R 12 G/S","V","1170",1
"BMW","R 12 NINET","CS","1170",1
"BMW","R 12 NINET","M","1170",1
"BMW","R 1250 RT","B","1254",1
"BMW","R 1300 GS","A","1300",1
"BMW","R 1300 GS","AB","1300",1
"BMW","R 1300 GS","B","1300",3
"BMW","R 1300 GS","CS","1300",1
"BMW","R 1300 GS","GR","1300",3
"BMW","R 1300 GS","M","1300",12
"BMW","R 1300 GS","MU","1300",1
"BMW","R 1300 GS","SA","1300",1
"BMW","R 1300 GS","TF","1300",1
"BMW","R 1300 GS","VA","1300",1
"BMW","R 1300 GS","VI","1300",1
"BMW","R 1300 GS","ZA","1300",1
"BMW","R 1300 GS ADVENTURE","A","1300",1
"BMW","R 1300 GS ADVENTURE","B","1300",1
"BMW","R 1300 GS ADVENTURE","C","1300",1
"BMW","R 1300 GS ADVENTURE","CS","1300",1
"BMW","R 1300 GS ADVENTURE","GR","1300",1
"BMW","R 1300 GS ADVENTURE","M","1300",7
"BMW","R 1300 GS ADVENTURE","MU","1300",3
"BMW","R 1300 GS ADVENTURE","S","1300",1
"BMW","R 1300 GS ADVENTURE","SE","1300",1
"BMW","R 1300 GS ADVENTURE","V","1300",4
"BMW","R 1300 R","A","1300",1
"BMW","R 1300 R","GI","1300",1
"BMW","R 1300 R","M","1300",2
"BMW","R 1300 R","SE","1300",1
"BMW","R 1300 R","T","1300",1
"BMW","R 1300 RS","B","1300",1
"BMW","R 1300 RS","M","1300",2
"BMW","R 1300 RS","O","1300",1
"BMW","R 1300 RT","B","1300",2
"BMW","R 1300 RT","M","1300",3
"BMW","R 1300 RT","MU","1300",1
"BMW","R 1300 RT","SE","1300",1
"BMW","S 1000 R","A","999",1
"BMW","S 1000 RR","CA","999",1
"BMW","S 1000 RR","M","999",1
"BMW","S 1000 XR","MA","999",1
"BMW","S 1000 XR","SE","999",1
"BMW","S 1000 XR","SS","999",1
"BRIXTON","CROMWELL 1200","B","1222",1
"BRIXTON","CROSSFIRE125XS","C","125",1
