MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",6
"ALPINA DI RENANIA","STRADA 125CC","125",1
"APRILIA","RS 125","124",5
"APRILIA","RS 457","457",3
"APRILIA","RS 660","659",10
"APRILIA","RSV4","1099",1
"APRILIA","RX 125","124",16
"APRILIA","SR GT 125","125",88
"APRILIA","SR GT 200","174",2
"APRILIA","SX 125","124",10
"APRILIA","TUAREG 660","659",9
"APRILIA","TUONO 125","124",5
"APRILIA","TUONO 457","457",5
"APRILIA","TUONO 660 FACTORY","659",1
"APRILIA","TUONO V4","1077",3
"ARIIC","ARIIC 318","276",2
"BAJAJ","DOMINAR D 400","373",3
"BAJAJ","PULSAR NS 125","124",11
"BAJAJ","PULSAR NS 400 Z","373",6
"BENDA","CHINCHILLA","476",8
"BENDA","CHINCHILLA 350","343",10
"BENDA","DARKFLAG 500","496",6
"BENDA","LFC700","680",7
"BENDA","NAPOLEON","476",5
"BENDA","NAPOLEON 125","125",25
"BENDA","NAPOLEON 250","249",6
"BENDA","V302C","298",1
"BENELLI","752S","754",1
"BENELLI","BKX 125","125",6
"BENELLI","BN125","125",17
"BENELLI","IMPERIALE 400","374",1
"BENELLI","TRK 702","698",11
"BETA","N/A","293",40
"BMW","C 400 GT","350",45
"BMW","C 400 X","350",24
"BMW","F 450 GS","420",17
"BMW","F 800 GS","895",36
"BMW","F 900 GS","895",23
"BMW","F 900 GS ADVENTURE","895",15
"BMW","F 900 R","895",24
"BMW","F 900 R A2","895",9
"BMW","F 900 XR","895",22
"BMW","F 900 XR A2","895",4
"BMW","K 1600 GT","1649",2
"BMW","K 1600 GTL","1649",1
"BMW","M 1000 R","999",5
"BMW","M 1000 RR","999",1
"BMW","M 1000 XR","999",7
"BMW","R 12","1170",6
"BMW","R 12 G/S","1170",8
"BMW","R 12 NINET","1170",3
"BMW","R 12 NINET A2","1170",1
"BMW","R 1250 RT","1254",1
"BMW","R 1300 GS","1300",71
"BMW","R 1300 GS ADVENTURE","1300",47
"BMW","R 1300 R","1300",9
"BMW","R 1300 RS","1300",18
"BMW","R 1300 RT","1300",41
"BMW","R 18","1802",2
"BMW","R 18 CLASSIC","1802",1
"BMW","S 1000 R","999",4
"BMW","S 1000 RR","999",14
"BMW","S 1000 XR","999",7
"BRIXTON","CROMWELL 1200","1222",1
"BRIXTON","CROSSFIRE125XS","125",1
"BRIXTON","FELSBERG 125","125",1
"BSA","BANTAM","334",8
"BSA","SCRAMBLER","652",2
"CFMOTO","125 NK","124",7
"CFMOTO","450MT","449",108
"CFMOTO","675NK","674",9
"CFMOTO","675SR-R","674",31
"CFMOTO","700MT","693",14
"CFMOTO","800MT","799",7
"CFMOTO","800MT-X","799",30
"CYCLONE","CARRERA 125","125",5
"CYCLONE","LS-Z","124",11
"CYCLONE","RA125 PLUS","124",9
"CYCLONE","RA2","125",3
"CYCLONE","RT1","125",11
"CYCLONE","RT3S","289",2
"CYCLONE","RX1","124",2
"CYCLONE","RX1 PRO","124",11
"CYCLONE","RX401","401",2
"CYCLONE","RX600","550",5
"DUCATI","DESERTX DISCOVERY","937",1
"DUCATI","DIAVEL V4 RS","1103",3
"DUCATI","HYPERMOTARD 698 MONO","659",1
"DUCATI","HYPERMOTARD 950 DUCATI","937",1
"DUCATI","MONSTER DUCATI RED LIM","890",2
"DUCATI","MONSTER RED","890",2
"DUCATI","MONSTER WHITE","890",3
"DUCATI","MULTISTRADA V2","890",16
"DUCATI","MULTISTRADA V4","1158",11
"DUCATI","PANIGALE V2","890",11
"DUCATI","PANIGALE V4","1103",3
"DUCATI","SCRAMBLER ICON DARK","803",3
"DUCATI","SCRAMBLER NIGHTSHIFT N","803",1
"DUCATI","STREETFIGHTER","890",8
"EFUN","LION","125",13
"F.B MONDIAL","IMOLA","125",1
"FANTIC MOTOR","---","125",6
"GASGAS","EC 250F","250",1
"GASGAS","EC 300","293",6
"GASGAS","EC 500F","510",1
"GASGAS","TXT 300","294",1
"HARLEY-DAVIDSON","BREAKOUT","1923",1
"HARLEY-DAVIDSON","CVO PAN AMERICA","1252",1
"HARLEY-DAVIDSON","CVO STREET GLIDE","1977",1
"HARLEY-DAVIDSON","FAT BOY","1923",2
"HARLEY-DAVIDSON","HERITAGE CLASSIC","1923",4
"HARLEY-DAVIDSON","LOW RIDER S","1923",2
"HARLEY-DAVIDSON","LOW RIDER ST","1923",1
"HARLEY-DAVIDSON","NIGHTSTER","975",3
"HARLEY-DAVIDSON","PAN AMERICA 1250 LIMIT","1252",1
"HARLEY-DAVIDSON","PAN AMERICA 1250 SPECI","1252",5
"HARLEY-DAVIDSON","ROAD GLIDE","1923",3
"HARLEY-DAVIDSON","SPORTSTER S","1252",2
"HARLEY-DAVIDSON","STREET BOB","1923",6
"HARLEY-DAVIDSON","STREET GLIDE","1923",3
"HARLEY-DAVIDSON","STREET GLIDE LIMITED","1923",1
"HARLEY-DAVIDSON","STREET GLIDE ULTRA","1923",1
"HERO MOTOCORP","HUNK 440","440",4
"HERO MOTOCORP","X PULSE 200 4V","200",14
"HONDA","ADV 350","330",192
"HONDA","ADV 750","745",118
"HONDA","C125A","124",1
"HONDA","CB 125 F","124",19
"HONDA","CB 500 F","471",8
"HONDA","CB 500 X","471",46
"HONDA","CB1000SP","1000",1
"HONDA","CB650RA","649",44
"HONDA","CB750 Hornet","755",38
"HONDA","CBF 125","125",34
"HONDA","CBR 650 R","649",45
"HONDA","CBR500","471",11
"HONDA","CBR600R3","599",3
"HONDA","CL500","471",12
"HONDA","CMX1100","1084",12
"HONDA","CRF 300 L","286",16
"HONDA","CRF 450 L","443",1
"HONDA","CRF1100L Africa Twin","1084",43
"HONDA","CRF300LRA","286",1
"HONDA","FORZA 350","330",57
"HONDA","FORZA 750","745",51
"HONDA","FORZA125","125",230
"HONDA","GB350S","348",32
"HONDA","GL1800DA","1833",3
"HONDA","MSX125A","124",7
"HONDA","NC 750 X","745",43
"HONDA","NT1100","1084",15
"HONDA","PCX125","125",461
"HONDA","Rebel 500","471",31
