FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"04082026","0","","KAWASAKI","NINJA 650","Gipuzkoa","País Vasco","649"
"04082026","0","","ZONTES","125X","Cádiz","Andalucía","125"
"04082026","0","","HONDA","SH Mode 125","Girona","Cataluña","125"
"04082026","0","","ZONTES","125X","Barcelona","Cataluña","125"
"04082026","0","","HONDA","PCX 125","Barcelona","Cataluña","125"
"04082026","0","","KYMCO","SKYTOWN 125","Murcia","Región de Murcia","125"
"04082026","0","","SHERCO","125 SE-R","Valencia/València","Comunidad Valenciana","125"
"04082026","0","","VOGE","300RALLY","León","Castilla y León","292"
"04082026","0","","KYMCO","AGILITY NX 125","Pontevedra","Galicia","125"
"04082026","0","","JIAJUE","TANK","Barcelona","Cataluña","125"
"04082026","0","","ROYAL ENFIELD","HIMALAYAN 452","Barcelona","Cataluña","452"
"04082026","0","","KOVE","KOVE 350 RR","Barcelona","Cataluña","344"
"04082026","0","","ROYAL ENFIELD","GUERRILLA 450","Ourense","Galicia","452"
"04082026","0","","ZONTES","125X","Jaén","Andalucía","125"
"04082026","0","","HONDA","VISION 110","Alicante/Alacant","Comunidad Valenciana","109"
"04082026","0","","TRIUMPH","TIGER 900 ALPINE EDITI","Valencia/València","Comunidad Valenciana","888"
"04082026","0","","MONKEY BIKES","DAX 125","León","Castilla y León","124"
"04082026","0","","ZONTES","703RR","Madrid","Comunidad de Madrid","699"
"04082026","0","","HONDA","SH125i","Barcelona","Cataluña","125"
"04082026","0","","MITT","GT-S","Zaragoza","Aragón","125"
"04082026","0","","HONDA","SH350i","Girona","Cataluña","330"
"04082026","0","","YAMAHA","NMAX 125","Barcelona","Cataluña","125"
"04082026","0","","HONDA","PCX 125","Santa Cruz de Tenerife","Canarias","125"
"04082026","0","","SYM","SYMPHONY 125","Illes Balears","Illes Balears","125"
"04082026","0","","YAMAHA","R125","Alicante/Alacant","Comunidad Valenciana","125"
"04082026","0","","YAMAHA","NMAX 125","Navarra","Comunidad Foral de Navarra","125"
"04082026","0","","ZONTES","125C","Madrid","Comunidad de Madrid","125"
"04082026","0","","ZONTES","125X","Tarragona","Cataluña","125"
"04082026","0","","HONDA","XL750 Transalp","Málaga","Andalucía","755"
"04082026","0","","VOGE","R125","Madrid","Comunidad de Madrid","125"
"04082026","0","","KAWASAKI","Z900","Barcelona","Cataluña","948"
"04082026","0","","KYMCO","DTX","Madrid","Comunidad de Madrid","124"
"04082026","0","","DUCATI","PANIGALE V2","Navarra","Comunidad Foral de Navarra","890"
"04082026","0","","HONDA","SH125i","Girona","Cataluña","125"
"04082026","0","","MH MOTORCYCLES","DUXTER","Sevilla","Andalucía","438"
"04082026","0","","SYM","SYMPHONY 125","Barcelona","Cataluña","125"
"04082026","0","","CFMOTO","675SR-R","Barcelona","Cataluña","674"
"04082026","0","","ZNEN","P45","Burgos","Castilla y León","125"
"04082026","0","","ZONTES","125X","Illes Balears","Illes Balears","125"
"04082026","0","","ZONTES","125X","Madrid","Comunidad de Madrid","125"
