MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"APRILIA","RS 125","Madrid","Comunidad de Madrid","124",1
"APRILIA","RS 125","Santa Cruz de Tenerife","Canarias","124",1
"APRILIA","RS 457","Barcelona","Cataluña","457",1
"APRILIA","RS 457","Cantabria","Cantabria","457",1
"APRILIA","RS 457","Málaga","Andalucía","457",1
"APRILIA","RS 457","Zaragoza","Aragón","457",2
"APRILIA","RS 660","Palmas (Las)","Canarias","659",1
"APRILIA","RSV4","León","Castilla y León","1099",1
"APRILIA","RSV4","Palmas (Las)","Canarias","1099",1
"APRILIA","RX 125","Badajoz","Extremadura","124",1
"APRILIA","RX 125","Cantabria","Cantabria","124",1
"APRILIA","RX 125","Córdoba","Andalucía","124",1
"APRILIA","RX 125","Málaga","Andalucía","124",2
"APRILIA","RX 125","Murcia","Región de Murcia","124",1
"APRILIA","RX 125","Sevilla","Andalucía","124",2
"APRILIA","RX 125","Toledo","Castilla-La Mancha","124",1
"APRILIA","SR GT 125","Alicante/Alacant","Comunidad Valenciana","125",2
"APRILIA","SR GT 125","Barcelona","Cataluña","125",2
"APRILIA","SR GT 125","Cádiz","Andalucía","125",1
"APRILIA","SR GT 125","Córdoba","Andalucía","125",1
"APRILIA","SR GT 125","Granada","Andalucía","125",4
"APRILIA","SR GT 125","Huelva","Andalucía","125",1
"APRILIA","SR GT 125","Illes Balears","Illes Balears","125",1
"APRILIA","SR GT 125","Lleida","Cataluña","125",1
"APRILIA","SR GT 125","Madrid","Comunidad de Madrid","125",1
"APRILIA","SR GT 125","Málaga","Andalucía","125",2
"APRILIA","SR GT 125","Murcia","Región de Murcia","125",1
"APRILIA","SR GT 125","Palmas (Las)","Canarias","125",2
"APRILIA","SR GT 125","Pontevedra","Galicia","125",3
"APRILIA","SR GT 125","Santa Cruz de Tenerife","Canarias","125",1
"APRILIA","SR GT 125","Sevilla","Andalucía","125",1
"APRILIA","SR GT 125","Tarragona","Cataluña","125",1
"APRILIA","SR GT 125","Valencia/València","Comunidad Valenciana","125",2
"APRILIA","SR GT 125","Zamora","Castilla y León","125",1
"APRILIA","SR GT 200","Illes Balears","Illes Balears","174",1
"APRILIA","SR GT 200","Madrid","Comunidad de Madrid","174",1
"APRILIA","SR GT 400","Barcelona","Cataluña","399",1
"APRILIA","SR GT 400","Córdoba","Andalucía","399",1
"APRILIA","SR GT 400","Madrid","Comunidad de Madrid","399",2
"APRILIA","SR GT 400","Málaga","Andalucía","399",1
"APRILIA","SR GT 400","Palmas (Las)","Canarias","399",1
"APRILIA","SR GT 400","Sevilla","Andalucía","399",1
"APRILIA","SR GT 400","Valencia/València","Comunidad Valenciana","399",1
"APRILIA","SX 125","Cantabria","Cantabria","124",1
"APRILIA","SX 125","Navarra","Comunidad Foral de Navarra","124",1
"APRILIA","SX 125","Rioja (La)","La Rioja","124",1
"APRILIA","SX 125","Valencia/València","Comunidad Valenciana","124",1
"APRILIA","TUAREG 660","Barcelona","Cataluña","659",1
"APRILIA","TUONO 457","Asturias","Principado de Asturias","457",1
"APRILIA","TUONO 457","Santa Cruz de Tenerife","Canarias","457",1
"BAJAJ","DOMINAR D 400","Madrid","Comunidad de Madrid","373",1
"BAJAJ","DOMINAR D 400","Zaragoza","Aragón","373",1
"BAJAJ","PULSAR NS 125","Alicante/Alacant","Comunidad Valenciana","124",1
"BAJAJ","PULSAR NS 125","Barcelona","Cataluña","124",2
"BAJAJ","PULSAR NS 125","Castellón/Castelló","Comunidad Valenciana","124",1
"BAJAJ","PULSAR NS 125","Gipuzkoa","País Vasco","124",1
"BAJAJ","PULSAR NS 125","Illes Balears","Illes Balears","124",1
"BAJAJ","PULSAR NS 125","Murcia","Región de Murcia","124",2
"BAJAJ","PULSAR NS 125","Valencia/València","Comunidad Valenciana","124",1
"BAJAJ","PULSAR NS 200","Alicante/Alacant","Comunidad Valenciana","200",1
"BAJAJ","PULSAR NS 200","Barcelona","Cataluña","200",1
"BAJAJ","PULSAR NS 200","Bizkaia","País Vasco","200",1
"BAJAJ","PULSAR NS 200","Castellón/Castelló","Comunidad Valenciana","200",1
"BAJAJ","PULSAR NS 200","Granada","Andalucía","200",3
"BAJAJ","PULSAR NS 200","Illes Balears","Illes Balears","200",4
"BAJAJ","PULSAR NS 200","Lleida","Cataluña","200",1
"BAJAJ","PULSAR NS 200","Madrid","Comunidad de Madrid","200",2
"BAJAJ","PULSAR NS 200","Navarra","Comunidad Foral de Navarra","200",1
"BAJAJ","PULSAR NS 200","Valencia/València","Comunidad Valenciana","200",1
"BAJAJ","PULSAR NS 400 Z","Barcelona","Cataluña","373",2
"BAJAJ","PULSAR NS 400 Z","Cádiz","Andalucía","373",1
"BAJAJ","PULSAR NS 400 Z","Illes Balears","Illes Balears","373",1
"BAJAJ","PULSAR NS 400 Z","Madrid","Comunidad de Madrid","373",2
"BAJAJ","PULSAR NS 400 Z","Murcia","Región de Murcia","373",1
"BAJAJ","PULSAR NS 400 Z","Palmas (Las)","Canarias","373",1
"BAJAJ","PULSAR NS 400 Z","Zaragoza","Aragón","373",1
"BENDA","CHINCHILLA 500","Coruña (A)","Galicia","476",1
"BENDA","CHINCHILLA 500","Madrid","Comunidad de Madrid","476",1
"BENDA","DARKFLAG 500","Córdoba","Andalucía","496",1
"BENDA","DARKFLAG 500","Málaga","Andalucía","496",1
"BENDA","LFC700","Coruña (A)","Galicia","677",1
"BENDA","LFC700","Huelva","Andalucía","677",1
"BENDA","LFC700","Málaga","Andalucía","677",1
"BENDA","LFC700","Pontevedra","Galicia","677",1
"BENDA","NAPOLEON 125","Badajoz","Extremadura","125",1
"BENDA","NAPOLEON 125","Barcelona","Cataluña","125",1
"BENDA","NAPOLEON 125","Cantabria","Cantabria","125",1
"BENDA","NAPOLEON 125","Girona","Cataluña","125",1
"BENDA","NAPOLEON 125","Granada","Andalucía","125",1
"BENDA","NAPOLEON 125","Illes Balears","Illes Balears","125",1
"BENDA","NAPOLEON 125","Jaén","Andalucía","125",1
"BENDA","NAPOLEON 125","Madrid","Comunidad de Madrid","125",3
"BENDA","NAPOLEON 125","Palmas (Las)","Canarias","125",1
"BENDA","NAPOLEON 125","Pontevedra","Galicia","125",1
"BENDA","NAPOLEON 250","Barcelona","Cataluña","249",1
"BENDA","NAPOLEON 250","Girona","Cataluña","249",1
"BENDA","NAPOLEON 250","Valladolid","Castilla y León","249",1
"BENDA","V302C","Ciudad Real","Castilla-La Mancha","298",1
"BENDA","V302C","Girona","Cataluña","298",1
"BENELLI","BKX 125","Alicante/Alacant","Comunidad Valenciana","125",1
"BENELLI","BKX 125","Asturias","Principado de Asturias","125",1
"BENELLI","BKX 125","Cantabria","Cantabria","125",1
"BENELLI","BKX 125","León","Castilla y León","125",1
"BENELLI","BKX 125","Toledo","Castilla-La Mancha","125",1
"BENELLI","BKX 300","Jaén","Andalucía","292",1
"BENELLI","BN125","Alicante/Alacant","Comunidad Valenciana","125",1
"BENELLI","BN125","Barcelona","Cataluña","125",1
"BENELLI","BN125","Cádiz","Andalucía","125",1
"BENELLI","BN125","Illes Balears","Illes Balears","125",1
"BENELLI","BN125","León","Castilla y León","125",1
"BENELLI","BN125","Rioja (La)","La Rioja","125",1
"BENELLI","BN125","Tarragona","Cataluña","125",1
"BENELLI","TRK 702","Barcelona","Cataluña","698",1
"BENELLI","TRK 702","Bizkaia","País Vasco","698",1
"BENELLI","TRK 702","Cantabria","Cantabria","698",1
"BENELLI","TRK 702","Cuenca","Castilla-La Mancha","698",1
"BENELLI","TRK 702","Huelva","Andalucía","698",1
"BENELLI","TRK 702","Madrid","Comunidad de Madrid","698",1
