FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"17022025","0","","HORWIN","SK3","0","0.77","2","MADRID","M","SG","17022025","28050","D","","B00","28079","MADRID","4.00","A1","","03","01","94","282","L3e","","42","0400","BEV","014000","","","","",""
"17022025","0","","EFUN","PUMA","125","1.75","2","MONCOFA","CS","CS","17022025","12593","D","","B00","12077","MONCOFA","9.90","A1","","2","0","128","338","L3e","","59","0400","BEV","022000","","","","",""
"17022025","0","","SILENCE","S01+","0","1.45","2","BARCELONA","B","M","17022025","08020","D","","B00","08019","BARCELONA","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"17022025","0","","SILENCE","S01+","0","1.45","2","SANT JOAN DE VILATORRADA","B","B","17022025","08250","X","","B00","08218","S JOAN VILATORRADA","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"17022025","0","","VELCA","CALIMA S","0","0.99","2","","V","MU","17022025","46980","D","","B00","46190","PATERNA","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"17022025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","TALAVERA LA REAL","BA","BA","17022025","06140","D","","B00","06128","TALAVERA LA REAL","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"17022025","0","","SUPER SOCO","CPXPRO","0","1.35","2","CENES DE LA VEGA","GR","J","17022025","18190","D","","B00","18047","CENES DE LA VEGA","4.00","A1","","6","1","107","300","L3e","","53","0400","BEV","010000","","","","",""
"17022025","0","","SWAPPER","X+","0","0.58","2","MADRID","M","M","17022025","28006","X","","A01","28079","MADRID","3.00","A1","","00","01","93","265","L3e","ND","33","0400","BEV","006200","","","","",""
"17022025","0","","SILENCE","S01","0","1.35","2","HOSPITALET DE LLOBREGAT","B","M","17022025","08908","X","","B00","08101","L HOSPITALET DE LLOB","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"17022025","0","","EFUN","PUSA90","0","1.07","2","VALL D'UIXÓ, LA","CS","CS","17022025","12600","D","","B00","12126","VALL DE UXO","5.50","A1","","01","01","99","261","L3e","","47","0400","BEV","008200","","","","",""
"17022025","0","","SWAPPER","X+","0","0.58","2","MADRID","M","M","17022025","28006","X","","A01","28079","MADRID","3.00","A1","","00","01","93","265","L3e","ND","33","0400","BEV","006200","","","","",""
