MARCA_ITV,COUNT
"ARENA",21
"BMW",26
"BRP",2
"CECOTEC",19
"E-BROH",5
"EFUN",21
"FELQ",8
"HORWIN",13
"INVICTA ELECTRIC",1
"IONIK",5
"KAWASAKI",1
"LINZE",1
"LVNENG",6
"MAEVING",1
"NEXT",10
"NEXTELECTRICMOTORS",3
"NIU",1
"NWOW",1
"OTTOBIKE",1
"OXWIN",1
"PIAGGIO",3
"QUAZZAR",1
"RAY ELECTRIC MOTORS",1
"RIEJU",171
"RODEA",2
"SAKURA",3
"SEGWAY",15
"SILENCE",255
"STARK",27
"SUPER SOCO",6
"URBAN ELECTRIC MOTORS",1
"VELCA",34
"VELIMOTOR",1
"VMOTO",7
"YADEA",2
"YASAN MOTOR",1
"ZEEHO",7
"ZERO MOTORCYCLES",10
