MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","R30","3.20","L3e",1
"ARENA","VORTEX","4.00","L3e",2
"BMW","CE 02","6.00","L3e",4
"BMW","CE 04","11.00","L3e",1
"BMW","CE 04","15.00","L3e",5
"BMW","CE04","15.00","L3e",2
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",3
"CECOTEC","VULCANO","6.00","L3e",7
"DIMEN","F80-FX","6.00","L3e",1
"DIMENTRO","DM-E3","3.50","L3e",1
"E RIDE PRO","SS 3.0","6.00","L3e",1
"E RIDE PRO","SS3.0","6.00","L3e",2
"EFUN","DEER 100","7.10","L3e",7
"EFUN","LION","11.00","L3e",27
"EFUN","LIPO70","4.11","L3e",1
"EFUN","PUMA","9.90","L3e",2
"EFUN","PUSA90","5.50","L3e",10
"EFUN","TIGER 100","7.10","L3e",3
"FELQ","FW03","3.00","L3e",2
"FELQ","FW06","5.00","L3e",1
"FELQ","FW07","5.00","L3e",3
"HONDA","EVP4","4.20","L3e",5
"HORWIN","F80","4.30","L3e",2
"KAINING","YUZHU","8.00","L3e",1
"NEXTELECTRICMOTORS","NX PLUS","4.00","L3e",3
"NEXT","MOJITO","3.50","L3e",13
"NEXT","OVEGA","10.00","L3e",7
"NEXT","V5","10.00","L3e",1
"NIU","FQI 500","6.40","L3e",2
"NIU","MQI GT L3 3KWH ESTANDA","3.10","L3e",1
"NIU","MQI GT L3 4KWH EXTENDI","3.10","L3e",1
"NIU","NQI GTS SPORTL3 3,2KWH","4.60","L3e",1
"NIU","NQIX 300","5.00","L3e",1
"NIU","NQIX 500","9.00","L3e",1
"NIU","RQI SPORT","7.50","L3e",22
"PIAGGIO","PIAGGIO 1","2.00","L3e",2
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",1
"RAY ELECTRIC MOTORS","RAY 7.7","11.00","L3e",1
"RIEJU","RAY7.7","11.00","L3e",3
"SAKURA","JS2A","4.00","L3e",1
"SEGWAY","--","7.80","L3e",11
"SEGWAY","E250S","5.00","L3e",1
"SILENCE","S01+","7.50","L3e",24
"SILENCE","S01","7.00","L3e",99
"SILENCE","S02","4.00","L3e",83
"SILENCE","S02","7.00","L3e",26
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",9
"STARK","STARK VARG","9.00","L3e",2
"STARK","VARG","9.00","L3e",45
"SUPER SOCO","CPX","4.00","L3e",3
"SUPER SOCO","TC MAX E5","3.90","L3e",1
"SUPER SOCO","TS STREET HUNTER","2.50","L3e",1
"SURRON","ULTRA BEE","6.00","L3e",3
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","9.50","L3e",5
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","9.50","L3e",6
"VELCA","CALIMA S","5.15","L3e",8
"VELCA","EON","11.00","L3e",23
"VELCA","ONE","7.00","L3e",14
"VELCA","TRAMONTANA S","5.00","L3e",5
"VELCA","VORTEX","8.00","L3e",7
"VERGE","TS","35.00","L3e",1
"VMOTO","F01","3.50","L3e",1
"VMOTO","STASH","9.00","L3e",2
"YADEA","C1S PRO","6.00","L3e",1
"ZERO MOTORCYCLES","DS 11KW ZF14.4","11.00","L3e",2
"ZERO MOTORCYCLES","DS 14.4 11KW","11.00","L3e",15
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","DS 15.6","11.00","L3e",1
"ZERO MOTORCYCLES","DSR/X","36.00","L3e",4
"ZERO MOTORCYCLES","FX","15.00","L3e",1
"ZERO MOTORCYCLES","LS1","5.00","L3e",3
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","S 15.6","11.00","L3e",1
"ZERO MOTORCYCLES","SR 15.6+","28.00","L3e",1
"ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","6.00","L3e",1
