MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","R30","3.20","L3e",1
"ARENA","VORTEX","4.00","L3e",8
"ASKOLL","N.A.","4.10","L3e",1
"BMW","CE 02","6.00","L3e",21
"BMW","CE 04","11.00","L3e",1
"BMW","CE 04","15.00","L3e",43
"BMW","CE04","11.00","L3e",2
"BMW","CE04","15.00","L3e",9
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",10
"CECOTEC","HALO","7.55","L3e",1
"CECOTEC","VULCANO","6.00","L3e",27
"DIMEN","F80-FX","6.00","L3e",3
"DIMENTRO","DM-E3","3.50","L3e",2
"E RIDE PRO","SR","6.00","L3e",1
"E RIDE PRO","SS 3.0","6.00","L3e",5
"E RIDE PRO","SS3.0","6.00","L3e",4
"E-BROH","ALEX","5.10","L3e",2
"E-BROH","BRAVO CR","5.00","L3e",1
"E-BROH","BRAVO GLE","5.00","L3e",5
"E-BROH","BRAVO GLS","5.00","L3e",3
"E-BROH","VERACRUZ","4.70","L3e",2
"E-ZI","GOCCIA GEV3000","3.00","L3e",1
"EFUN","DEER 100","7.10","L3e",14
"EFUN","LION","11.00","L3e",160
"EFUN","LIPO70","4.11","L3e",1
"EFUN","MONEY75","5.50","L3e",1
"EFUN","PUMA","9.90","L3e",5
"EFUN","PUSA 90","5.50","L3e",1
"EFUN","PUSA90","5.50","L3e",71
"EFUN","TIGER 100","7.10","L3e",23
"EUROCKA","C8S EXPRESS PLUS","5.00","L3e",1
"FANTIC MOTOR","--","3.00","L3e",2
"FAURO","JS2A","4.00","L3e",1
"FELQ","FW03","3.00","L3e",6
"FELQ","FW06","5.00","L3e",1
"FELQ","FW07","5.00","L3e",8
"FRISON","RIDER-X","6.80","L3e",1
"HONDA","EVF9018","18.00","L3e",16
"HONDA","EVP4","4.20","L3e",16
"HONGFANWX","STREET RAPTOR 300S T10","6.00","L3e",2
"HORWIN","F80","4.30","L3e",11
"IONIK","HOMCAN","2.00","L3e",3
"JNEN","MODEL 1","3.50","L3e",3
"KAINING","KN-OA","4.00","L3e",1
